,2021-06-01,2021-09-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,4.41,3.99,6.76,7.44,10.79,10.97,19.8,10.4,12.76
Expenses,3.82,3.58,5.8,6.06,8.72,8.01,15.31,8.89,10.38
Operating Profit,0.59,0.41,0.96,1.38,2.07,2.96,4.49,1.51,2.38
OPM %,13.38,10.28,14.2,18.55,19.18,26.98,22.68,14.52,18.65
Other Income,0.08,0.01,0.01,0.0,0.22,0.0,0.02,0.0,0.0
Interest,0.08,0.12,0.03,0.09,0.09,0.09,0.13,0.22,0.37
Depreciation,0.21,0.21,0.23,0.17,0.19,0.16,0.18,0.15,0.17
Profit before tax,0.38,0.09,0.71,1.12,2.01,2.71,4.2,1.14,1.84
Tax %,21.05,33.33,12.68,27.68,23.38,25.09,21.43,25.44,28.8
Net Profit,0.3,0.06,0.62,0.81,1.54,2.02,3.3,0.84,1.32
EPS in Rs,0.36,0.07,0.75,0.98,1.47,1.92,3.13,0.8,1.25
