,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,10.44,11.72,14.3,15.7,13.73,15.37,17.3,18.34,16.29,18.33,20.33,49.01,53.93
Expenses,10.28,11.56,12.42,13.38,11.09,12.97,14.82,15.82,14.43,15.93,17.18,38.1,42.59
Operating Profit,0.16,0.16,1.88,2.32,2.64,2.4,2.48,2.52,1.86,2.4,3.15,10.91,11.34
OPM %,1.53,1.37,13.15,14.78,19.23,15.61,14.34,13.74,11.42,13.09,15.49,22.26,21.03
Other Income,0.0,0.0,0.13,0.01,0.03,0.01,0.02,0.08,0.03,0.03,0.09,0.24,0.02
Interest,0.0,0.0,1.07,1.3,1.72,1.31,1.18,1.05,0.83,0.56,0.44,0.4,0.81
Depreciation,0.0,0.0,0.49,0.84,0.82,0.61,0.56,0.67,0.85,0.65,0.91,0.72,0.66
Profit before tax,0.16,0.16,0.45,0.19,0.13,0.49,0.76,0.88,0.21,1.22,1.89,10.03,9.89
Tax %,0.0,0.0,33.33,36.84,30.77,32.65,32.89,26.14,80.95,27.87,27.51,23.63,
Net Profit,0.16,0.16,0.3,0.13,0.08,0.34,0.51,0.65,0.04,0.87,1.37,7.67,7.48
EPS in Rs,8.0,8.0,15.0,6.5,4.0,17.0,0.85,1.08,0.07,1.05,1.65,7.27,7.10
