,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,-0.17,-1.1,-9.15
Cash from Investing Activity,,-1.95,-1.78,-1.1
Cash from Financing Activity,,2.14,2.68,10.21
Net Cash Flow,,0.02,-0.21,-0.04
