,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,16.86,14.94,13.52,10.1,7.84,12.84,22.24,34.34,26.94,28.27,35.79,45.1,55.69
Expenses,16.35,15.01,13.42,10.23,8.57,12.32,21.59,33.74,26.29,26.95,34.96,43.53,53.35
Operating Profit,0.51,-0.07,0.1,-0.13,-0.73,0.52,0.65,0.6,0.65,1.32,0.83,1.57,2.34
OPM %,3.02,-0.47,0.74,-1.29,-9.31,4.05,2.92,1.75,2.41,4.67,2.32,3.48,4.20
Other Income,4.97,1.42,7.31,0.52,0.54,0.02,0.14,0.41,0.41,0.26,0.31,0.25,0.14
Interest,0.08,0.07,0.02,0.01,0.03,0.1,0.13,0.15,0.13,0.14,0.27,0.44,0.62
Depreciation,1.05,1.06,1.07,0.21,0.13,0.23,0.27,0.37,0.44,0.53,0.43,0.51,0.52
Profit before tax,4.35,0.22,6.32,0.17,-0.35,0.21,0.39,0.49,0.49,0.91,0.44,0.87,1.34
Tax %,0.0,0.0,0.0,0.0,-5.71,19.05,17.95,-26.53,0.0,0.0,-45.45,3.45,
Net Profit,4.35,0.23,6.32,0.17,-0.38,0.17,0.31,0.63,0.49,0.91,0.64,0.85,1.31
EPS in Rs,7.62,0.4,11.07,0.3,-0.67,0.3,0.54,1.1,0.86,1.59,1.12,1.49,2.30
