,2022-09-01,2023-03-01,2023-09-01
Sales,12.0,24.77,25.62
Expenses,11.23,25.06,23.33
Operating Profit,0.77,-0.29,2.29
OPM %,6.42,-1.17,8.94
Other Income,2.72,1.52,0.77
Interest,0.18,0.23,0.29
Depreciation,0.05,0.05,0.05
Profit before tax,3.26,0.95,2.72
Tax %,17.79,22.11,19.12
Net Profit,2.69,0.74,2.19
EPS in Rs,4.56,0.52,1.13
