,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,0.51,-0.53,2.41,-0.01,-0.27
Cash from Investing Activity,-0.21,-0.05,-4.5,0.2,0.06
Cash from Financing Activity,0.01,0.38,1.94,-0.23,0.24
Net Cash Flow,0.3,-0.21,-0.15,-0.04,0.03
