,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,169.43,186.35,286.13,179.95,113.06
Inventory Days,14.93,42.27,50.81,66.5,82.74
Days Payable,48.57,91.82,134.45,94.81,30.01
Cash Conversion Cycle,135.79,136.8,202.48,151.64,165.79
Working Capital Days,188.3,212.87,215.47,172.52,166.47
ROCE %,,11.73,12.59,15.05,20.86
