,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,18.57,19.41,17.77,25.05,36.77,50.39
Expenses,17.71,17.87,15.84,23.17,36.28,48.39
Operating Profit,0.86,1.54,1.93,1.88,0.49,2.00
OPM %,4.63,7.93,10.86,7.5,1.33,3.97
Other Income,0.23,0.21,0.27,1.12,4.23,2.29
Interest,0.03,0.05,0.23,0.36,0.41,0.52
Depreciation,0.12,0.12,0.15,0.13,0.1,0.10
Profit before tax,0.94,1.58,1.82,2.51,4.21,3.67
Tax %,30.85,26.58,30.77,22.31,18.76,
Net Profit,0.65,1.16,1.25,1.96,3.43,2.93
EPS in Rs,1.1,1.97,2.12,3.32,2.42,1.65
