,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.9,5.9,5.9,5.9,14.16,19.3
Reserves,7.02,8.18,9.43,11.39,6.5600000000000005,20.78
Borrowings,0.33,0.46,2.69,2.8200000000000003,3.47,4.07
Other Liabilities,2.49,6.04,7.56,7.68,3.4,3.05
Total Liabilities,15.74,20.58,25.58,27.79,27.59,47.2
Fixed Assets,0.25,0.56,0.75,0.62,0.52,0.48
CWIP,0.28,0.01,0.0,0.0,0.0,0.0
Investments,0.0,0.0,4.35,5.15,6.59,7.21
Other Assets,15.21,20.01,20.48,22.02,20.48,39.51
Total Assets,15.74,20.58,25.58,27.79,27.59,47.2
