,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,2,6,39,37,14,-4,4
Cash from Investing Activity,-4,-7,-30,-19,-8,-14,-47
Cash from Financing Activity,2,7,0,6,2,23,-5
Net Cash Flow,0,5,9,24,8,5,-48
