,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10,51,51,60,60,60,60,60,60,60
Reserves,249,222,251,574,659,702,744,799,860,895
Borrowings,370,395,460,484,268,283,310,614,666,668
Other Liabilities,286,296,305,467,475,321,482,503,563,645
Total Liabilities,916,965,1067,1585,1462,1367,1597,1976,2150,2268
Fixed Assets,476,528,595,678,743,831,842,942,1172,1220
CWIP,40,55,29,72,37,33,15,128,115,117
Investments,3,4,11,24,39,48,58,53,49,51
Other Assets,396,377,433,811,642,454,682,853,814,880
Total Assets,916,965,1067,1585,1462,1367,1597,1976,2150,2268
