,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,88,81,4,41,23,9,14
Cash from Investing Activity,-81,-87,-197,-70,-13,-6,-108
Cash from Financing Activity,5,0,192,26,-18,-8,97
Net Cash Flow,12,-6,-1,-3,-7,-5,3
