,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,245.0,351.0,393.0,460.0,288.0,365.0,807.0,1036
Expenses,209.0,292.0,344.0,416.0,297.0,345.0,705.0,913
Operating Profit,36.0,59.0,49.0,44.0,-10.0,20.0,102.0,123
OPM %,15.0,17.0,13.0,10.0,-3.0,5.0,13.0,12
Other Income,3.0,2.0,3.0,4.0,3.0,-0.0,1.0,3
Interest,11.0,9.0,12.0,15.0,19.0,15.0,16.0,13
Depreciation,4.0,4.0,9.0,12.0,13.0,17.0,17.0,18
Profit before tax,24.0,47.0,32.0,21.0,-39.0,-13.0,70.0,94
Tax %,40.0,47.0,38.0,28.0,2.0,22.0,14.0,
Net Profit,14.0,25.0,20.0,15.0,-38.0,-10.0,60.0,75
EPS in Rs,2.28,4.07,2.7,2.05,-5.19,-1.34,7.8,9.69
