,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,125,125,125,126,127,127,128
Reserves,664,972,1343,1806,2326,2533,2602
Borrowings,649,649,350,518,1686,1005,1019
Other Liabilities,987,923,934,1148,2310,1989,2026
Total Liabilities,2425,2670,2752,3597,6449,5654,5776
Fixed Assets,862,863,909,915,3273,3250,3279
CWIP,1,1,20,11,13,27,6
Investments,368,541,541,770,624,548,493
Other Assets,1195,1264,1282,1902,2538,1830,1998
Total Assets,2425,2670,2752,3597,6449,5654,5776
