,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4080.0,4479.0,4520.0,4804.0,5394.0,6870.0,6966
Expenses,3549.0,3895.0,3921.0,4083.0,4625.0,6099.0,6242
Operating Profit,531.0,584.0,599.0,720.0,769.0,770.0,724
OPM %,13.0,13.0,13.0,15.0,14.0,11.0,10
Other Income,31.0,48.0,59.0,76.0,60.0,67.0,73
Interest,64.0,60.0,41.0,43.0,35.0,109.0,99
Depreciation,13.0,13.0,27.0,30.0,42.0,116.0,121
Profit before tax,485.0,560.0,591.0,724.0,752.0,612.0,577
Tax %,33.0,28.0,16.0,15.0,23.0,22.0,
Net Profit,324.0,401.0,496.0,617.0,578.0,476.0,443
EPS in Rs,5.17,6.4,7.91,9.82,9.13,7.28,6.77
