,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,5799,5608,5428,5312,5103,4914,5805.0
Reserves,0,-183,-499,-802,-959,-963,-908,
Borrowings,0,1772,1799,1765,1899,1896,3038,
Other Liabilities,0,6617,6420,6203,5989,5923,5475,
Total Liabilities,0,14005,13327,12594,12241,11958,12519,
Fixed Assets,0,13627,12975,12290,11629,10951,10692,
CWIP,0,3,0,0,2,1,0,
Investments,0,215,227,53,159,215,185,
Other Assets,0,160,125,250,450,790,1642,
Total Assets,0,14005,13327,12594,12241,11958,12519,
