,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,636.0,615.0,636.0,497.0,665.0,663.0,734.0,917.0,535.0,526.0
Expenses,122.0,128.0,120.0,113.0,113.0,120.0,122.0,504.0,130.0,85.0
Operating Profit,513.0,487.0,515.0,383.0,552.0,543.0,613.0,413.0,404.0,441.0
OPM %,81.0,79.0,81.0,77.0,83.0,82.0,83.0,45.0,76.0,84.0
Other Income,1.0,10.0,10.0,-2.0,1.0,1.0,1.0,4.0,6.0,1.0
Interest,81.0,84.0,79.0,75.0,71.0,71.0,71.0,72.0,121.0,136.0
Depreciation,323.0,338.0,348.0,233.0,375.0,285.0,396.0,166.0,95.0,113.0
Profit before tax,110.0,74.0,99.0,73.0,108.0,189.0,147.0,179.0,195.0,193.0
Tax %,1.0,1.0,-1.0,-0.0,0.0,4.0,17.0,2.0,1.0,2.0
Net Profit,110.0,73.0,99.0,73.0,108.0,181.0,122.0,176.0,193.0,189.0
EPS in Rs,1.89,1.26,1.71,1.26,1.86,3.11,2.1,3.04,3.33,3.26
