,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,178,23,23,22,22,22,22,22
Reserves,484,1209,1404,1474,1594,1815,1909,1966
Borrowings,273,67,44,0,40,0,0,0
Other Liabilities,32,621,547,583,546,679,839,924
Total Liabilities,967,1920,2017,2079,2203,2516,2769,2911
Fixed Assets,616,585,546,508,467,459,81,79
CWIP,0,0,0,0,0,0,95,181
Investments,209,450,581,691,714,1049,1305,1221
Other Assets,141,885,891,881,1022,1008,1288,1430
Total Assets,967,1920,2017,2079,2203,2516,2769,2911
