,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,24.92,23.09,20.64,23.29,23.08,26.84,34.24,47.43,45.96,39.45,68.38,87.53,83.89
Expenses,22.1,20.81,19.13,21.31,20.89,24.68,32.63,44.7,44.55,37.17,65.63,83.64,80.06
Operating Profit,2.82,2.28,1.51,1.98,2.19,2.16,1.61,2.73,1.41,2.28,2.75,3.89,3.83
OPM %,11.32,9.87,7.32,8.5,9.49,8.05,4.7,5.76,3.07,5.78,4.02,4.44,4.57
Other Income,0.81,0.19,0.34,0.55,0.69,0.57,0.62,0.54,0.71,0.85,1.17,1.42,1.12
Interest,0.68,0.75,0.62,0.44,0.38,0.49,0.71,0.68,0.46,0.37,0.46,0.46,0.30
Depreciation,0.25,0.39,0.4,0.6,0.8,0.82,0.68,0.82,0.88,0.75,0.68,0.68,0.64
Profit before tax,2.7,1.33,0.83,1.49,1.7,1.42,0.84,1.77,0.78,2.01,2.78,4.17,4.01
Tax %,27.78,30.83,32.53,36.91,40.59,40.14,-1.19,42.37,34.62,32.84,26.62,28.06,
Net Profit,1.95,0.92,0.56,0.94,1.01,0.85,0.85,1.02,0.51,1.36,2.05,3.01,2.89
EPS in Rs,0.82,0.39,0.22,0.31,0.32,0.27,0.27,0.33,0.16,0.44,0.66,0.97,0.93
