,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,35,35,35,35,35,35,35,35,35,35,35,35,35
Reserves,665,741,799,425,459,1065,1158,1327,1198,1569,2027,2602,2794
Borrowings,900,2016,2359,2284,1059,0,117,70,92,73,115,365,373
Other Liabilities,665,518,968,731,1727,100,279,173,154,216,281,528,559
Total Liabilities,2265,3310,4161,3474,3280,1200,1589,1605,1479,1893,2459,3529,3761
Fixed Assets,599,1013,1012,1641,950,16,29,34,54,69,74,77,74
CWIP,405,666,1011,75,46,46,46,46,46,46,84,536,580
Investments,65,38,41,45,115,1080,1126,1312,1282,1639,2079,2513,2671
Other Assets,1196,1593,2097,1713,2170,58,388,214,96,139,220,404,436
Total Assets,2265,3310,4161,3474,3280,1200,1589,1605,1479,1893,2459,3529,3761
