,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,147,58,62,19,30,100
Cash from Investing Activity,-146,-30,-11,-10,-345,-25
Cash from Financing Activity,-1,-28,-46,-8,319,-73
Net Cash Flow,1,1,5,1,3,2
