,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,69.0,100.0,93.0,59.0,85.0,91.0,103
Expenses,49.0,59.0,62.0,48.0,61.0,45.0,46
Operating Profit,21.0,41.0,31.0,10.0,24.0,46.0,57
OPM %,30.0,41.0,33.0,18.0,28.0,50.0,56
Other Income,3.0,2.0,5.0,6.0,3.0,3.0,5
Interest,0.0,0.0,0.0,0.0,1.0,0.0,1
Depreciation,1.0,1.0,1.0,2.0,4.0,2.0,2
Profit before tax,23.0,42.0,35.0,14.0,22.0,47.0,59
Tax %,22.0,28.0,16.0,32.0,21.0,32.0,
Net Profit,130.0,137.0,78.0,74.0,161.0,238.0,325
EPS in Rs,5.84,6.19,3.52,3.33,7.35,10.7,14.61
