,2021-03-01,2022-03-01,2023-03-01
Debtor Days,119.39,79.7,77.1
Inventory Days,115.51,113.62,107.26
Days Payable,42.74,19.88,20.33
Cash Conversion Cycle,192.16,173.44,164.03
Working Capital Days,114.46,81.96,78.23
ROCE %,,25.78,37.69
