,2022-09-01,2023-09-01
Sales,12.54,14.01
Expenses,10.66,12.2
Operating Profit,1.88,1.81
OPM %,14.99,12.92
Other Income,0.03,0.09
Interest,0.12,0.1
Depreciation,0.42,0.37
Profit before tax,1.37,1.43
Tax %,24.82,25.87
Net Profit,1.03,1.06
EPS in Rs,51.5,1.05
