,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,63.74,63.66,63.66,63.68,63.68,63.68,67.77,72.76
DIIs,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Public,36.22,36.3,36.3,36.28,36.28,36.28,32.19,27.19
No. of Shareholders,10800.0,11172.0,10943.0,10742.0,11241.0,14352.0,14354.0,13967.0
