,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.1,0.1,0.25,0.25,2.0,2.0
Reserves,-0.15,-0.15,0.27,0.32,0.18,0.43
Borrowings,0.52,0.88,1.08,2.31,3.0,3.06
Other Liabilities,0.1,0.53,0.92,1.35,1.94,1.81
Total Liabilities,0.5700000000000001,1.36,2.52,4.23,7.12,7.3
Fixed Assets,0.01,0.16,0.25,0.28,0.27,0.23
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.56,1.2,2.27,3.95,6.85,7.07
Total Assets,0.5700000000000001,1.36,2.52,4.23,7.12,7.3
