,2023-09-01
Depreciation,0.04
EPS in Rs,1.25
Expenses,3.71
Interest,0.21
Net Profit,0.25
OPM %,13.11
Operating Profit,0.56
Other Income,0.02
Profit before tax,0.33
Sales,4.27
Tax %,24.24
