,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,579.0,626.0,748.0,810.0,803.0,1024.0,1672.0,1181.0,1143
Expenses,511.0,574.0,651.0,710.0,733.0,723.0,1143.0,1103.0,1110
Operating Profit,68.0,52.0,97.0,100.0,70.0,302.0,529.0,79.0,32
OPM %,12.0,8.0,13.0,12.0,9.0,29.0,32.0,7.0,3
Other Income,9.0,18.0,3.0,27.0,5.0,-8.0,11.0,24.0,27
Interest,3.0,2.0,3.0,2.0,6.0,5.0,9.0,9.0,10
Depreciation,6.0,8.0,9.0,11.0,14.0,21.0,20.0,23.0,24
Profit before tax,69.0,60.0,88.0,113.0,54.0,268.0,511.0,70.0,25
Tax %,31.0,37.0,34.0,33.0,14.0,25.0,25.0,28.0,
Net Profit,48.0,38.0,58.0,77.0,47.0,201.0,381.0,51.0,18
EPS in Rs,2.79,2.2,3.37,4.45,2.71,11.7,22.16,2.95,1.02
