,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,86,86,86,86,86,86,86,86,86
Reserves,196,225,306,369,395,594,944,958,963
Borrowings,2,26,23,34,26,14,19,7,13
Other Liabilities,215,195,141,165,153,198,241,223,216
Total Liabilities,499,532,556,654,660,892,1290,1274,1278
Fixed Assets,105,206,273,283,302,292,343,552,532
CWIP,16,28,12,6,26,28,14,23,31
Investments,69,16,57,0,41,0,0,0,1
Other Assets,310,282,214,364,291,572,933,700,714
Total Assets,499,532,556,654,660,892,1290,1274,1278
