,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,46.58,77.34,26.12,30.89,44.29,67.35,56.55,44.52,54.2,42.3,34.22,44.5,40.57
Expenses,35.42,65.65,20.10,22.59,36.57,55.24,42.08,30.66,41.22,31.55,54.52,34.7,35.49
Operating Profit,11.16,11.69,6.02,8.3,7.72,12.11,14.47,13.86,12.98,10.75,-20.3,9.8,5.08
OPM %,23.96,15.12,23.05,26.87,17.43,17.98,25.59,31.13,23.95,25.41,-59.32,22.02,12.52
Other Income,0.79,1.13,1.99,1.21,1.75,1.05,-2.06,0.51,1.5,0.47,1.6,0.87,4.74
Interest,6.89,7.31,7.09,7.48,7.2,8.85,9.35,10.36,9.26,8.22,7.93,8.14,6.29
Depreciation,0.8,0.82,0.92,0.87,0.89,1.54,1.42,1.58,1.53,1.54,1.55,1.6,1.58
Profit before tax,4.26,4.69,0.00,1.16,1.38,2.77,1.64,2.43,3.69,1.46,-28.18,0.93,1.95
Tax %,28.17,40.3,,67.24,21.74,113.72,-64.02,55.56,25.47,44.52,11.32,55.91,83.08
Net Profit,3.07,2.79,0.24,0.38,1.08,-0.39,2.75,1.1,2.77,0.83,-24.97,0.47,0.35
EPS in Rs,0.91,0.75,0.18,0.56,0.65,0.21,0.75,0.27,1.19,0.45,-7.89,-0.19,-0.15
