,2022-09-01,2023-09-01
Sales,30.16,34.59
Expenses,28.61,33.13
Operating Profit,1.55,1.46
OPM %,5.14,4.22
Other Income,0.31,0.46
Interest,0.3,0.38
Depreciation,0.41,0.38
Profit before tax,1.15,1.16
Tax %,22.61,22.41
Net Profit,0.89,0.9
EPS in Rs,1.62,1.15
