,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.85,1.32,1.45,1.18,0.88,1.11,0.52,0.63,0.68,0.66
Expenses,0.18,0.16,0.2,0.2,0.5,1.29,0.14,0.14,0.76,0.84
Operating Profit,0.67,1.16,1.25,0.98,0.38,-0.18,0.38,0.49,-0.08,-0.18
OPM %,78.82,87.88,86.21,83.05,43.18,-16.22,73.08,77.78,-11.76,-27.27
Other Income,-0.08,-0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.04
Interest,0.32,0.69,0.74,0.53,0.22,0.14,0.13,0.14,0.16,0.15
Depreciation,0.01,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.0,0.00
Profit before tax,0.26,0.44,0.51,0.45,0.14,-0.31,0.24,0.34,-0.24,-0.29
Tax %,30.77,15.91,19.61,35.56,-114.29,-16.13,-29.17,29.41,25.0,
Net Profit,0.19,0.37,0.4,0.3,0.3,-0.36,0.31,0.25,-0.18,-0.21
EPS in Rs,0.32,0.62,0.67,0.5,0.5,-0.6,0.52,0.42,-0.3,-0.35
