,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Reserves,1.89,2.26,4.67,4.96,5.27,4.9,5.19,5.44,5.26,5.4
Borrowings,3.82,9.88,6.73,2.66,1.67,1.71,1.17,1.29,1.42,1.49
Other Liabilities,0.11,0.18,0.25,0.35,0.19,0.14,0.17,0.2,0.8200000000000001,0.8300000000000001
Total Liabilities,8.82,15.32,14.65,10.97,10.13,9.75,9.53,9.93,10.5,10.72
Fixed Assets,0.11,0.11,0.11,0.11,0.15,0.03,0.02,0.02,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,1.64,1.39,2.61,2.61,0.16,0.04,0.01,0.01,0.01,0.01
Other Assets,7.07,13.82,11.93,8.25,9.82,9.68,9.5,9.9,10.49,10.71
Total Assets,8.82,15.32,14.65,10.97,10.13,9.75,9.53,9.93,10.5,10.72
