,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7.32,6.79,8.0,6.89,7.44,6.94,6.8,7.28,8.77,7.56,9.23,20.26,23.82
Expenses,6.35,5.53,6.6,5.86,6.37,6.39,5.88,6.5,7.57,6.62,7.45,14.81,17.21
Operating Profit,0.97,1.26,1.4,1.03,1.07,0.55,0.92,0.78,1.2,0.94,1.78,5.45,6.61
OPM %,13.25,18.56,17.5,14.95,14.38,7.93,13.53,10.71,13.68,12.43,19.28,26.9,27.75
Other Income,0.1,0.04,0.01,0.03,0.02,0.05,0.01,0.17,0.04,0.05,0.07,0.1,0.11
Interest,0.47,0.42,0.47,0.42,0.37,0.4,0.32,0.32,0.38,0.35,0.29,0.3,0.33
Depreciation,0.59,0.61,0.6,0.76,0.77,0.65,0.42,0.38,0.51,0.51,0.5,0.63,0.68
Profit before tax,0.01,0.27,0.34,-0.12,-0.05,-0.45,0.19,0.25,0.35,0.13,1.06,4.62,5.71
Tax %,100.0,33.33,32.35,58.33,-60.0,26.67,31.58,44.0,31.43,61.54,26.42,29.44,
Net Profit,0.0,0.17,0.23,-0.06,-0.09,-0.32,0.13,0.14,0.24,0.05,0.78,3.26,4.11
EPS in Rs,0.0,0.47,0.64,-0.17,-0.25,-0.89,0.36,0.39,0.67,0.14,2.17,9.06,11.42
