,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,23.13,29.63,36.15,47.22,53.21,66.63,74.37,78.74,64.18,41.57,29.12,19.16,8.75
Expenses,20.86,26.83,32.9,42.2,45.88,59.46,64.64,67.91,56.91,38.77,28.8,22.08,10.88
Operating Profit,2.27,2.8,3.25,5.02,7.33,7.17,9.73,10.83,7.27,2.8,0.32,-2.92,-2.13
OPM %,9.81,9.45,8.99,10.63,13.78,10.76,13.08,13.75,11.33,6.74,1.1,-15.24,-24.34
Other Income,0.03,0.13,0.07,-1.66,0.06,0.11,0.07,0.24,0.29,0.04,-1.79,1.79,1.77
Interest,1.11,1.35,1.74,2.76,3.92,3.96,5.12,5.99,4.01,3.96,2.78,0.35,0.12
Depreciation,0.27,0.39,0.43,0.52,2.15,1.72,2.25,2.34,1.83,1.62,0.97,0.82,0.63
Profit before tax,0.92,1.19,1.15,0.08,1.32,1.6,2.43,2.74,1.72,-2.74,-5.22,-2.3,-1.11
Tax %,80.43,29.41,27.83,50.0,53.79,33.12,25.93,27.01,27.33,-4.01,20.31,25.22,
Net Profit,0.18,0.84,0.83,0.03,0.61,1.06,1.79,2.0,1.25,-2.86,-4.17,-1.72,-1.10
EPS in Rs,0.78,2.55,2.08,0.07,0.91,1.16,1.97,1.8,1.13,-2.58,-3.76,-1.55,-1.00
