,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,90.0,118.0,155.0,91.0,140.0,164.0,191.0,211.0,220.0,253.0,258.0,243.0,143.0
Expenses,106.0,125.0,149.0,100.0,153.0,163.0,186.0,201.0,205.0,184.0,190.0,189.0,154.0
Operating Profit,-16.0,-7.0,5.0,-9.0,-13.0,1.0,5.0,10.0,15.0,69.0,68.0,54.0,-11.0
OPM %,-18.0,-6.0,3.0,-10.0,-10.0,1.0,2.0,5.0,7.0,27.0,26.0,22.0,-8.0
Other Income,3.0,1.0,4.0,1.0,4.0,1.0,3.0,2.0,6.0,1.0,19.0,11.0,6.0
Interest,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,5.0,7.0
Depreciation,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0
Profit before tax,-23.0,-16.0,-1.0,-17.0,-19.0,-7.0,-1.0,3.0,12.0,61.0,72.0,50.0,-23.0
Tax %,36.0,34.0,-500.0,33.0,38.0,50.0,-120.0,35.0,35.0,35.0,30.0,35.0,30.0
Net Profit,-15.0,-11.0,-4.0,-11.0,-12.0,-4.0,-2.0,2.0,8.0,40.0,50.0,32.0,-16.0
EPS in Rs,-0.69,-0.5,-0.18,-0.54,-0.55,-0.17,-0.1,0.11,0.36,1.86,2.35,1.52,-0.77
