,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Expenses,0.05,0.13,0.09,0.07,0.07,0.09,0.17,0.62,0.18,0.12,0.13,0.12,0.13
Operating Profit,-0.05,-0.13,-0.09,-0.07,-0.07,-0.09,-0.17,-0.62,-0.18,-0.12,-0.13,-0.12,-0.13
OPM %,,,,,,,,,,,,,
Other Income,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.16,0.16,0.16,0.16,0.16
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Depreciation,0.06,0.06,0.05,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04
Profit before tax,-0.05,-0.12,-0.08,-0.04,-0.04,-0.05,-0.13,-0.58,-0.04,0.02,0.01,0.02,-0.01
Tax %,0.00,0.00,0.00,0.00,0.00,-420.00,23.08,-1.72,0.00,0.00,0.00,0.00,
Net Profit,-0.05,-0.11,-0.08,-0.04,-0.03,-0.26,-0.11,-0.59,-0.05,0.02,0.01,0.01,-0.01
EPS in Rs,-0.04,-0.08,-0.06,-0.03,-0.02,-0.18,-0.08,-0.42,-0.04,0.01,0.01,0.01,0.0
