,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,16.85,16.85,16.85,16.85,16.85,16.85,16.85,16.85
Public,83.15,83.15,83.15,83.15,83.15,83.15,83.15,83.15
No. of Shareholders,1412.0,1335.0,1331.0,1371.0,1355.0,1905.0,5677.0,5677.0
