,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,354.0,378.0,397.0,356.0,359.0,399.0,451.0,415.0,414.0,385.0,472.0,445.0,455.0
Expenses,284.0,311.0,330.0,314.0,305.0,340.0,391.0,360.0,363.0,341.0,405.0,375.0,384.0
Operating Profit,71.0,67.0,67.0,41.0,54.0,59.0,60.0,55.0,52.0,43.0,67.0,70.0,72.0
OPM %,20.0,18.0,17.0,12.0,15.0,15.0,13.0,13.0,12.0,11.0,14.0,16.0,16.0
Other Income,19.0,5.0,8.0,3.0,-5.0,4.0,3.0,1.0,9.0,2.0,-20.0,1.0,2.0
Interest,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,6.0,7.0,10.0,10.0
Depreciation,15.0,17.0,18.0,17.0,17.0,17.0,20.0,20.0,20.0,20.0,21.0,22.0,22.0
Profit before tax,70.0,51.0,53.0,24.0,27.0,43.0,37.0,31.0,35.0,19.0,19.0,39.0,41.0
Tax %,24.0,31.0,25.0,-233.0,19.0,25.0,64.0,26.0,28.0,29.0,94.0,29.0,27.0
Net Profit,54.0,35.0,40.0,81.0,22.0,32.0,14.0,23.0,25.0,13.0,1.0,28.0,30.0
EPS in Rs,3.81,2.5,2.84,5.76,1.57,2.29,0.9,1.56,1.75,0.94,0.17,1.97,2.12
