,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,76.35,84.58,20.43,23.56,78.68,38.01,17.67,20.91,2.85,2.63,2.85,3.87,5.23
Expenses,64.63,80.68,20.68,33.91,92.58,41.22,19.19,23.83,5.34,4.51,4.45,6.6,13.92
Operating Profit,11.72,3.9,-0.25,-10.35,-13.9,-3.21,-1.52,-2.92,-2.49,-1.88,-1.6,-2.73,-8.69
OPM %,15.35,4.61,-1.22,-43.93,-17.67,-8.45,-8.6,-13.96,-87.37,-71.48,-56.14,-70.54,-166.16
Other Income,4.84,7.21,12.47,20.91,10.07,4.83,2.26,2.88,2.86,1.79,1.8,-5.53,0.40
Interest,10.7,8.2,10.15,8.09,6.67,1.51,0.39,0.17,0.04,0.01,0.02,0.0,0.00
Depreciation,0.19,0.21,0.22,0.3,0.29,0.28,0.24,0.19,0.25,0.07,0.04,0.03,0.02
Profit before tax,5.67,2.7,1.85,2.17,-10.79,-0.17,0.11,-0.4,0.08,-0.17,0.14,-8.29,-8.31
Tax %,31.22,2.22,19.46,22.58,0.09,47.06,-36.36,5.0,-50.0,-5.88,21.43,0.97,
Net Profit,3.9,2.65,1.49,1.68,-10.78,-0.09,0.16,-0.39,0.12,-0.17,0.11,-8.21,-8.22
EPS in Rs,2.77,1.88,1.06,1.19,-7.65,-0.06,0.11,-0.28,0.09,-0.12,0.08,-5.83,-5.84
