,2022-09-01,2023-09-01
Sales,5.85,8.01
Expenses,4.42,6.26
Operating Profit,1.43,1.75
OPM %,24.44,21.85
Other Income,0.0,0.09
Interest,0.0,0.0
Depreciation,0.28,0.13
Profit before tax,1.15,1.71
Tax %,25.22,39.18
Net Profit,0.86,1.04
EPS in Rs,0.86,0.75
