,2022-03-01,2023-03-01
Debtor Days,203.36,54.97
Inventory Days,160.09,33.87
Days Payable,454.65,45.55
Cash Conversion Cycle,-91.2,43.29
Working Capital Days,119.06,40.76
ROCE %,,17.93
