,2022-03-01,2023-03-01
Sales,4.2,15.67
Expenses,2.75,12.55
Operating Profit,1.45,3.12
OPM %,34.52,19.91
Other Income,0.0,0.03
Interest,0.0,0.03
Depreciation,0.03,1.1
Profit before tax,1.42,2.02
Tax %,26.06,26.24
Net Profit,1.05,1.48
EPS in Rs,2.66,1.48
