,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Promoters,73.63,73.63,73.63,73.63
DIIs,0.0,0.0,0.19,0.0
Public,26.37,26.37,26.17,26.37
No. of Shareholders,546.0,516.0,505.0,621.0
