,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,46.78,38.33,63.39,50.34,61.74,80.13,82.59,79.05,61.41,38.18,36.26,40.71,40.26
Expenses,45.12,37.97,64.39,49.78,60.87,79.86,81.56,78.01,60.9,37.02,35.22,39.04,39.80
Operating Profit,1.66,0.36,-1.0,0.56,0.87,0.27,1.03,1.04,0.51,1.16,1.04,1.67,0.46
OPM %,3.55,0.94,-1.58,1.11,1.41,0.34,1.25,1.32,0.83,3.04,2.87,4.1,1.14
Other Income,0.0,0.23,5.89,0.99,1.42,2.54,1.87,1.98,1.58,1.09,1.13,0.78,2.48
Interest,1.06,0.63,0.95,0.86,1.29,1.54,1.45,1.57,0.83,1.33,1.22,1.42,1.96
Depreciation,0.16,0.17,0.18,0.2,0.37,0.31,0.38,0.47,0.46,0.51,0.55,0.51,0.46
Profit before tax,0.44,-0.21,3.76,0.49,0.63,0.96,1.07,0.98,0.8,0.41,0.4,0.52,0.52
Tax %,36.36,-4.76,6.12,42.86,28.57,35.42,33.64,57.14,40.0,46.34,22.5,26.92,
Net Profit,0.28,-0.23,3.54,0.28,0.45,0.62,0.71,0.42,0.48,0.21,0.31,0.38,0.38
EPS in Rs,0.63,-0.51,7.91,0.63,1.01,1.39,1.59,0.94,1.07,0.47,0.69,0.85,0.84
