,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,,,29.20,336.18,27.04,214.31,223.66,0.0,0.0,0.0,0.0,
Inventory Days,,,0.00,0.00,0.00,0.00,3.54,418.23,19710.0,5110.0,10220.0,
Days Payable,,,,,,,360.71,395.42,730.0,1642.5,182.5,
Cash Conversion Cycle,,,29.20,336.18,27.04,214.31,-133.52,22.81,18980.0,3467.5,10037.5,
Working Capital Days,,,73.00,3035.26,1113.02,40354.27,290.32,26934.25,118442.5,122518.33,88695.0,
ROCE %,0.00,0.00,30.77,0.00,-5.11,0.03,0.31,0.02,-0.84,-2.28,-2.29,
