,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49
Public,34.51,34.51,34.51,34.51,34.51,34.51,34.52,34.51
No. of Shareholders,526.0,570.0,618.0,644.0,664.0,710.0,703.0,703.0
