,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,72.42,72.42,72.42,72.42,72.42,72.42,64.48,73.47
Public,27.58,27.58,27.58,27.58,27.58,27.58,35.52,26.53
No. of Shareholders,1843.0,1738.0,1730.0,1693.0,1906.0,2640.0,2164.0,2471.0
