,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,30.0,43.0,52.0,31.0,58.0,56.0,56.0,66.0,69.0,64.0,69.0,78.0,83.0
Expenses,24.0,30.0,36.0,26.0,39.0,40.0,39.0,47.0,50.0,48.0,48.0,56.0,61.0
Operating Profit,6.0,13.0,16.0,5.0,19.0,17.0,16.0,20.0,19.0,15.0,21.0,22.0,22.0
OPM %,20.0,30.0,31.0,17.0,33.0,30.0,29.0,30.0,27.0,24.0,30.0,28.0,27.0
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0
Interest,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
Depreciation,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,2.0,6.0,6.0
Profit before tax,0.0,6.0,10.0,-1.0,13.0,11.0,9.0,12.0,12.0,7.0,18.0,16.0,17.0
Tax %,150.0,28.0,82.0,26.0,25.0,25.0,26.0,25.0,27.0,24.0,25.0,26.0,24.0
Net Profit,-0.0,4.0,2.0,-1.0,10.0,8.0,7.0,9.0,9.0,5.0,14.0,12.0,13.0
EPS in Rs,-0.02,9.43,3.72,-1.55,20.87,17.34,14.62,19.38,19.3,10.77,29.11,24.55,26.79
