,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,6.12,2.47,2.47,2.82,5.09,1.55,2.43,2.3
Expenses,2.15,4.01,2.45,2.33,2.8,2.27,1.92,1.97
Operating Profit,3.97,-1.54,0.02,0.49,2.29,-0.72,0.51,0.33
OPM %,64.87,-62.35,0.81,17.38,44.99,-46.45,20.99,14.35
Other Income,0.07,0.29,0.17,0.34,0.17,0.18,0.14,0.15
Interest,0.05,0.21,0.1,0.1,0.12,0.11,0.12,0.11
Depreciation,0.08,0.09,0.12,0.11,0.14,0.12,0.13,0.13
Profit before tax,3.91,-1.55,-0.03,0.62,2.2,-0.77,0.4,0.24
Tax %,25.06,25.16,0.0,14.52,13.64,-18.18,35.0,16.67
Net Profit,2.92,-1.17,-0.03,0.53,1.89,-0.9,0.26,0.2
EPS in Rs,2.83,-1.13,-0.03,0.51,1.83,-0.87,0.25,0.19
