,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.56,7.31,10.24,15.45,11.92,11.37
Expenses,0.36,5.23,7.14,9.39,9.9,8.96
Operating Profit,0.20,2.08,3.1,6.06,2.02,2.41
OPM %,35.71,28.45,30.27,39.22,16.95,21.20
Other Income,0.00,0.1,0.29,0.51,0.69,0.64
Interest,0.04,0.37,0.35,0.39,0.43,0.46
Depreciation,0.02,0.26,0.29,0.33,0.5,0.52
Profit before tax,0.14,1.55,2.75,5.85,1.78,2.07
Tax %,21.43,28.39,26.91,25.3,29.78,
Net Profit,0.10,1.13,2.02,4.37,1.26,1.45
EPS in Rs,,1.1,1.96,4.23,1.22,1.40
