,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,2072.0,2086.0,1728.0,1873.0,2511.0,2567.0,2047.0,3061.0,2405.0,3421.0,2410.0,2032.0,3017.0
Expenses,1866.0,1969.0,1593.0,1668.0,2187.0,2207.0,1623.0,2525.0,2011.0,3076.0,2068.0,1893.0,2802.0
Operating Profit,205.0,117.0,135.0,204.0,324.0,360.0,425.0,536.0,394.0,345.0,342.0,138.0,215.0
OPM %,10.0,6.0,8.0,11.0,13.0,14.0,21.0,18.0,16.0,10.0,14.0,7.0,7.0
Other Income,67.0,33.0,73.0,20.0,65.0,30.0,66.0,30.0,72.0,18.0,26.0,49.0,195.0
Interest,11.0,6.0,6.0,2.0,3.0,2.0,3.0,3.0,3.0,6.0,3.0,2.0,2.0
Depreciation,44.0,44.0,44.0,44.0,45.0,45.0,44.0,45.0,46.0,46.0,45.0,45.0,46.0
Profit before tax,216.0,100.0,158.0,178.0,341.0,343.0,443.0,519.0,418.0,310.0,321.0,140.0,362.0
Tax %,21.0,17.0,16.0,22.0,34.0,32.0,34.0,31.0,31.0,-31.0,25.0,24.0,21.0
Net Profit,171.0,83.0,132.0,138.0,226.0,235.0,292.0,356.0,289.0,408.0,240.0,106.0,285.0
EPS in Rs,4.29,2.08,3.31,3.46,5.68,5.89,7.33,8.93,7.26,10.23,6.04,2.67,7.15
