,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.93
Reserves,-3.58,-4.63,-4.6,-5.36,-7.88,-9.55,-12.39,-17.36,-20.62,-22.37,-23.46
Borrowings,7.52,8.16,7.51,7.57,7.71,11.24,17.92,15.52,21.08,21.4,21.54
Other Liabilities,7.45,4.69,5.06,9.9,10.92,8.76,5.1,11.69,3.8,4.72,5.14
Total Liabilities,21.32,18.15,17.9,22.04,20.68,20.38,20.56,19.78,14.19,13.68,13.15
Fixed Assets,8.97,8.61,8.34,9.97,9.32,8.9,8.25,7.67,7.07,6.47,6.18
CWIP,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Other Assets,12.24,9.53,9.55,12.06,11.35,11.47,12.3,12.1,7.11,7.2,6.96
Total Assets,21.32,18.15,17.9,22.04,20.68,20.38,20.56,19.78,14.19,13.68,13.15
