,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,20.7,18.68,18.86,20.46,13.57,16.26,7.84,12.25,9.44,8.36,7.88
Expenses,21.76,16.97,18.03,20.46,15.49,16.87,10.0,14.0,9.52,7.43,7.61
Operating Profit,-1.06,1.71,0.83,0.0,-1.92,-0.61,-2.16,-1.75,-0.08,0.93,0.27
OPM %,-5.12,9.15,4.4,0.0,-14.15,-3.75,-27.55,-14.29,-0.85,11.12,3.43
Other Income,0.12,0.15,0.3,0.06,0.14,0.04,0.09,0.05,0.03,0.01,0.01
Interest,0.45,0.54,0.67,0.6,0.7,0.73,0.88,1.63,1.48,1.5,0.94
Depreciation,1.17,1.31,0.6,0.65,0.71,0.71,0.73,0.67,0.66,0.63,0.61
Profit before tax,-2.56,0.01,-0.14,-1.19,-3.19,-2.01,-3.68,-4.0,-2.19,-1.19,-1.27
Tax %,42.97,10500.0,128.57,35.29,21.0,16.42,22.83,-24.25,-49.32,-47.06,
Net Profit,-1.45,-1.04,0.04,-0.77,-2.51,-1.68,-2.84,-4.96,-3.26,-1.75,-1.83
EPS in Rs,-1.45,-1.04,0.04,-0.77,-2.51,-1.68,-2.84,-4.96,-3.26,-1.75,-1.83
