,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,282.0,327.0,313.0,398.0,362.0
Expenses,269.0,314.0,305.0,379.0,346.0
Operating Profit,13.0,13.0,8.0,19.0,16.0
OPM %,5.0,4.0,3.0,5.0,4.0
Other Income,1.0,18.0,3.0,3.0,1.0
Interest,9.0,10.0,8.0,8.0,9.0
Depreciation,2.0,2.0,2.0,2.0,3.0
Profit before tax,2.0,19.0,1.0,12.0,6.0
Tax %,-108.0,-19.0,29.0,25.0,25.0
Net Profit,5.0,23.0,0.0,9.0,4.0
EPS in Rs,38.0,13.55,0.27,3.71,1.76
