,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.18,6.98,13.03,18.13,27.14,29.95,34.4,38.24,37.3,37.04,47.15,54.40
Expenses,6.62,7.08,11.38,15.4,24.49,27.14,31.38,34.34,32.89,34.84,43.77,51.31
Operating Profit,-4.44,-0.1,1.65,2.73,2.65,2.81,3.02,3.9,4.41,2.2,3.38,3.09
OPM %,-203.67,-1.43,12.66,15.06,9.76,9.38,8.78,10.2,11.82,5.94,7.17,5.68
Other Income,3.45,4.15,25.85,6.12,-26.08,5.24,3.82,6.45,6.95,16.32,7.51,8.26
Interest,0.0,0.02,0.15,2.25,1.92,0.66,0.54,0.94,0.99,1.08,1.08,1.11
Depreciation,0.06,0.1,0.34,0.43,1.14,1.17,1.07,1.01,1.01,0.99,0.98,0.99
Profit before tax,-1.05,3.93,27.01,6.17,-26.49,6.22,5.23,8.4,9.36,16.45,8.83,9.25
Tax %,-155.24,30.28,19.81,29.98,-5.44,81.67,29.06,-35.36,31.73,30.21,23.56,
Net Profit,-2.69,2.75,21.67,4.32,-27.93,1.14,6.66,21.09,9.38,13.6,14.9,6.95
EPS in Rs,-0.24,0.25,1.93,0.38,-2.5,0.1,0.6,2.3,1.01,1.03,1.42,0.15
