,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.19,0.22,0.2,0.29,0.59,0.60
Expenses,0.18,0.17,0.17,0.86,0.66,0.75
Operating Profit,0.01,0.05,0.03,-0.57,-0.07,-0.15
OPM %,5.26,22.73,15.0,-196.55,-11.86,-25.00
Other Income,0.01,0.0,0.0,0.01,0.05,0.03
Interest,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.01,0.01,0.01,0.02,0.03,0.04
Profit before tax,0.01,0.04,0.02,-0.58,-0.05,-0.16
Tax %,0.0,25.0,0.0,0.0,0.0,
Net Profit,0.01,0.03,0.02,-0.58,-0.05,-0.15
EPS in Rs,10.0,30.0,20.0,-14.89,-1.28,-3.85
