,2012-12-01,2013-12-01,2014-12-01,2015-12-01,2016-12-01,2017-12-01,2018-12-01,2019-12-01,2020-06-01,2021-06-01,2022-06-01,2023-06-01
Equity Capital,17,17,17,17,17,17,17,17,17,17,17,17
Reserves,467,506,538,575,647,717,1524,800,890,687,600,734
Borrowings,0,0,0,0,0,0,0,0,0,8,3,12
Other Liabilities,111,125,154,192,215,258,219,250,269,275,269,338
Total Liabilities,594,648,708,784,879,991,1759,1067,1176,986,888,1101
Fixed Assets,75,85,110,132,111,115,104,101,101,104,112,144
CWIP,2,9,28,7,30,9,17,11,21,39,41,32
Investments,24,24,24,42,28,70,0,0,0,0,0,0
Other Assets,494,530,547,603,711,797,1639,954,1053,843,736,925
Total Assets,594,648,708,784,879,991,1759,1067,1176,986,888,1101
