,2023-03-01
Depreciation,0.47
EPS in Rs,3.22
Expenses,3.86
Interest,0.07
Net Profit,0.63
OPM %,25.91
Operating Profit,1.35
Other Income,0.06
Profit before tax,0.87
Sales,5.21
Tax %,27.59
