,2023-06-01,2023-09-01
Sales,18.1,15.76
Expenses,16.33,14.87
Operating Profit,1.77,0.89
OPM %,9.78,5.65
Other Income,0.15,0.13
Interest,0.41,0.32
Depreciation,0.29,0.37
Profit before tax,1.22,0.33
Tax %,26.23,21.21
Net Profit,0.91,0.25
EPS in Rs,0.16,0.04
