,2023-03-01
Depreciation,1.25
EPS in Rs,0.23
Expenses,49.31
Interest,1.3
Net Profit,1.33
OPM %,6.04
Operating Profit,3.17
Other Income,1.19
Profit before tax,1.81
Sales,52.48
Tax %,26.52
