,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Promoters,73.43,73.43,73.56,73.56,72.08
Public,26.57,26.57,26.43,26.43,27.92
No. of Shareholders,108.0,104.0,96.0,91.0,142.0
