,2023-03-01,2023-09-01
Equity Capital,11.5,11.5
Reserves,,6.5600000000000005
Borrowings,,14.65
Other Liabilities,,16.06
Total Liabilities,,48.77
Fixed Assets,,9.19
CWIP,,0.0
Investments,,0.35
Other Assets,,39.23
Total Assets,,48.77
