,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,19,19,16,15,16,16,16,22,18,72,17,23
Inventory Days,76,85,76,57,92,110,117,106,103,187,,
Days Payable,149,176,169,328,398,478,477,588,818,3000,,
Cash Conversion Cycle,-54,-71,-77,-256,-290,-352,-344,-460,-697,-2741,17,23
Working Capital Days,-366,-410,-420,-407,-142,-122,-132,-147,-215,-1041,-602,-401
ROCE %,7,6,5,1,3,4,4,4,3,-2,-1,3
